Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
27155,43204,C10,,,,
27166,41980,C13,,,,
27166,43202,C13,,,,
27168,43202,C13,,,,
27178,11112,,,,,
27178,41980,C12,,,,
27178,43202,C12,,,,
27178,43204,C13,,,,
27183,11112,,,,,
27183,41980,C13,,,,
27183,43202,C13,,,,
27183,43204,C13,,,,
27185,43202,C13,,,,
27197,43202,C13,,,,
27198,41980,C13,,,,
27198,43202,C13,,,,
27199,41924,,,,,
27199,41980,C13,,,,
27199,43202,C13,,,,
27199,43204,C13,,,,
27200,41955,U97,,,,
27200,41980,C13,,,,
27200,43202,C13,,,,
27200,43204,C13,,,,
27200,43214,C13,,,,
27201,41980,C13,,,,
27201,43202,C13,,,,
27201,43204,C13,,,,
27202,43202,C13,,,,
27202,43204,C13,,,,
27400,43202,C13,,,,
27400,43204,C13,,,,
27400,43215,C13,,,,
27405,43202,C12,,,,
27405,43204,C13,,,,
27406,41980,C13,,,,
27406,43202,C13,,,,
27406,43204,C13,,,,
27407,11112,,,,,
27407,41980,C13,,,,
27407,43202,C13,,,,
27407,43204,C13,,,,
27408,41980,C13,,,,
27408,11112,,,,,
27408,43202,C13,,,,
27408,43204,C13,,,,
27409,43202,C13,,,,
27411,43202,C07,,,,
27412,41924,,,,,
27412,41980,C13,,,,
27412,43202,C13,,,,
27412,43204,C13,,,,
27414,41980,C13,,,,
27414,43202,C12,,,,
27414,43204,C13,,,,
27415,43202,C12,,,,
27416,43202,C12,,,,
27502,41924,,,,,
27502,43202,C09,,,,
27502,43204,C09,,,,
27504,43204,C13,,,,
27505,43204,C13,,,,
27506,43204,C13,,,,
27507,41980,C09,,,,
27507,43202,C09,,,,
27508,43202,C09,,,,
27513,43202,C13,,,,
27514,43202,C13,,,,
27516,41980,C13,,,,
27516,43202,C13,,,,
27516,43204,C13,,,,
27517,43202,C13,,,,
27524,43202,C13,,,,
27539,43202,C13,,,,
27541,43202,C13,,,,
27543,43202,C13,,,,
27545,43202,C13,,,,
27550,43202,C09,,,,
27552,41980,C13,,,,
27552,43202,C13,,,,
27552,43204,C13,,,,
27553,43202,C13,,,,
27569,43202,C13,,,,
27572,43202,C13,,,,
27575,43202,C13,,,,
27583,43202,C13,,,,
27584,43202,C13,,,,
27588,43202,C13,,,,
27901,43202,C13,,,,
27902,43202,C13,,,,
27903,43202,C13,,,,
27905,43202,C13,,,,
27906,43202,C13,,,,
27909,43202,C13,,,,
28105,41980,C13,,,,
28105,43203,C13,,,,
28108,43203,C13,,,,
28120,41500,U22,,,,
28120,41520,U22,,,,
28120,43203,C13,,,,
28120,43214,C13,,,,
28122,41980,C13,,,,
28122,43203,C13,,,,
28127,43203,C10,,,,
28131,41980,C13,,,,
28131,43203,C13,,,,
28133,41980,C13,,,,
28133,43203,C13,,,,
28137,43203,C13,,,,
28140,41500,U22,,,,
28140,41510,U22,,,,
28142,41980,C13,,,,
28142,43203,C13,,,,
28143,43203,C13,,,,
28144,41500,U22,,,,
28144,41510,U22,,,,
28144,43203,C13,,,,
28145,43203,C13,,,,
28146,43203,C13,,,,
28147,43203,C13,,,,
28155,41980,C13,,,,
28155,43203,C13,,,,
28158,43203,C13,,,,
28177,43203,C13,,,,
28182,43203,C13,,,,
28189,41500,U22,,,,
28189,41510,U22,,,,
28189,41980,C13,,,,
28189,43203,C13,,,,
28189,46300,U97,,,,
28190,41980,C13,,,,
28190,43203,C13,,,,
28193,43203,C13,,,,
28195,41500,U22,,,,
28195,41980,C13,,,,
28195,43203,C13,,,,
28199,41980,C13,,,,
28199,43203,C13,,,,
28201,41980,C10,,,,
28201,43203,C10,,,,
28202,43202,C13,,,,
28203,41980,C13,,,,
28203,43203,C13,,,,
28204,43203,C13,,,,
28205,41980,C13,,,,
28205,43203,C13,,,,
28206,43203,C13,,,,
28207,41980,C13,,,,
28207,43203,C13,,,,
